Date,Channel,Campaign Name,Campaign Type,Region,Device,Impressions,Clicks,Conversions,Cost,Revenue
2025-11-10,Google Ads,Google Ads - Brand Awareness - As,Brand Awareness,Asia Pacific,Desktop,2702,94,2,86.62,363.81
2025-10-22,Facebook,Facebook - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,3347,61,1,22.9,129.51
2025-10-13,Email,Email - Lead Generation - Eu,Lead Generation,Europe,Tablet,1026,23,0,-16.49,0.0
2025-11-02,Google Ads,Google Ads - Conversion - As,Conversion,Asia Pacific,Mobile,688,19,0,38.99,0.0
2025-10-02,Facebook,Facebook - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,2234,26,0,42.62,0.0
2025-05-20,Instagram,Instagram - Retargeting - Eu,Retargeting,Europe,Desktop,1230,12,0,13.59,0.0
2025-12-21,YouTube,YouTube - Conversion - No,Conversion,North America,Mobile,1284,5,0,2.12,0.0
2025-06-26,Google Ads,Google Ads - Conversion - No,Conversion,North America,Desktop,2691,67,1,110.48,130.11
2025-01-14,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Tablet,2190,42,0,40.78,0.0
2025-06-20,Google Ads,Google Ads - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,2274,82,1,185.5,127.95
2025-08-18,LinkedIn,LinkedIn - Brand Awareness - No,Brand Awareness,North America,Mobile,680,4,0,15.62,0.0
2025-09-15,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Desktop,1188,15,1,35.31,137.62
2025-10-11,Facebook,Facebook - Conversion - LA,Conversion,LATAM,Desktop,1026,17,0,19.45,0.0
2025-02-22,Google Ads,Google Ads - Retargeting - No,Retargeting,North America,Mobile,1881,34,1,96.72,176.12
2025-10-31,Instagram,Instagram - Conversion - Eu,Conversion,Europe,Desktop,1501,19,0,22.27,0.0
2025-12-03,Google Ads,Google Ads - Conversion - No,Conversion,North America,Mobile,2045,35,0,29.13,0.0
2025-10-10,Instagram,Instagram - Retargeting - Eu,Retargeting,Europe,Tablet,1021,14,0,25.39,0.0
2025-08-23,YouTube,YouTube - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,1067,5,0,-0.39,0.0
2025-09-19,YouTube,YouTube - Brand Awareness - No,Brand Awareness,North America,Mobile,668,1,0,1.75,0.0
2025-12-12,LinkedIn,LinkedIn - Retargeting - Eu,Retargeting,Europe,Desktop,1251,11,0,57.62,0.0
2025-06-11,Google Ads,Google Ads - Conversion - LA,Conversion,LATAM,Mobile,1672,50,1,103.01,128.33
2025-10-20,YouTube,YouTube - Lead Generation - No,Lead Generation,North America,Desktop,1788,7,0,-5.34,0.0
2025-01-29,Google Ads,Google Ads - Lead Generation - LA,Lead Generation,LATAM,Mobile,1051,26,0,39.4,0.0
2025-06-13,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Desktop,1724,24,0,37.78,0.0
2025-03-28,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Desktop,1538,20,0,45.21,0.0
2025-04-15,Google Ads,Google Ads - Retargeting - No,Retargeting,North America,Desktop,2375,29,1,38.18,143.26
2025-01-11,LinkedIn,LinkedIn - Lead Generation - Eu,Lead Generation,Europe,Mobile,1125,8,0,34.44,0.0
2025-06-02,Google Ads,Google Ads - Lead Generation - LA,Lead Generation,LATAM,Desktop,1769,35,0,35.7,0.0
2025-11-08,Instagram,Instagram - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,883,11,0,16.13,0.0
2025-02-15,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Tablet,2192,47,1,79.77,204.78
2025-02-02,Instagram,Instagram - Lead Generation - Eu,Lead Generation,Europe,Mobile,1176,15,0,17.27,0.0
2025-12-13,LinkedIn,LinkedIn - Conversion - No,Conversion,North America,Desktop,917,10,0,43.17,0.0
2025-06-05,Facebook,Facebook - Retargeting - No,Retargeting,North America,Mobile,2141,31,1,65.02,187.32
2025-12-22,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Mobile,678,12,0,13.9,0.0
2025-11-29,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,1398,18,0,41.09,0.0
2025-09-19,Google Ads,Google Ads - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,2556,70,1,127.23,124.82
2025-07-06,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Desktop,1331,18,0,25.5,0.0
2025-04-27,Google Ads,Google Ads - Conversion - Eu,Conversion,Europe,Desktop,3225,77,1,144.43,198.22
2025-11-02,Google Ads,Google Ads - Conversion - As,Conversion,Asia Pacific,Desktop,2108,39,0,65.3,0.0
2025-04-02,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,1175,15,0,19.22,0.0
2025-10-12,Google Ads,Google Ads - Conversion - LA,Conversion,LATAM,Mobile,1874,38,0,87.18,0.0
2025-08-23,Google Ads,Google Ads - Lead Generation - No,Lead Generation,North America,Mobile,2236,74,2,156.54,314.19
2025-01-16,Google Ads,Google Ads - Lead Generation - No,Lead Generation,North America,Tablet,1130,21,0,33.39,0.0
2025-01-24,Google Ads,Google Ads - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,743,17,0,21.72,0.0
2025-03-16,LinkedIn,LinkedIn - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,1462,16,0,81.67,0.0
2025-06-12,Facebook,Facebook - Conversion - No,Conversion,North America,Desktop,2355,38,0,67.51,0.0
2025-01-23,Instagram,Instagram - Retargeting - Eu,Retargeting,Europe,Mobile,747,8,0,4.14,0.0
2025-07-21,Google Ads,Google Ads - Retargeting - As,Retargeting,Asia Pacific,Mobile,2346,72,3,187.15,275.64
2025-11-25,Facebook,Facebook - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,1683,29,0,45.97,0.0
2025-12-19,LinkedIn,LinkedIn - Retargeting - No,Retargeting,North America,Mobile,941,7,0,29.8,0.0
2025-10-26,LinkedIn,LinkedIn - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,819,7,0,32.56,0.0
2025-02-09,Facebook,Facebook - Retargeting - LA,Retargeting,LATAM,Mobile,2736,48,2,70.4,314.72
2025-04-20,Google Ads,Google Ads - Lead Generation - LA,Lead Generation,LATAM,Mobile,2631,92,1,133.62,144.94
2025-06-13,Google Ads,Google Ads - Retargeting - LA,Retargeting,LATAM,Desktop,2066,35,1,83.9,112.37
2025-08-10,Facebook,Facebook - Brand Awareness - As,Brand Awareness,Asia Pacific,Mobile,1635,32,0,38.55,0.0
2025-03-06,YouTube,YouTube - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,1010,5,0,2.29,0.0
2025-03-10,Instagram,Instagram - Brand Awareness - Eu,Brand Awareness,Europe,Desktop,939,10,0,17.6,0.0
2025-10-25,Google Ads,Google Ads - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,2601,56,1,92.15,134.69
2025-03-13,Google Ads,Google Ads - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,1783,49,1,97.22,148.17
2025-02-17,LinkedIn,LinkedIn - Retargeting - As,Retargeting,Asia Pacific,Mobile,779,7,0,36.08,0.0
2025-11-07,Facebook,Facebook - Retargeting - Eu,Retargeting,Europe,Mobile,2762,35,1,32.83,115.75
2025-08-30,LinkedIn,LinkedIn - Lead Generation - LA,Lead Generation,LATAM,Desktop,1160,8,0,34.66,0.0
2025-01-12,YouTube,YouTube - Retargeting - LA,Retargeting,LATAM,Mobile,1618,6,0,7.24,0.0
2025-01-25,Google Ads,Google Ads - Lead Generation - LA,Lead Generation,LATAM,Tablet,2271,61,1,106.69,166.76
2025-05-17,Email,Email - Retargeting - No,Retargeting,North America,Mobile,1083,37,1,-11.84,154.03
2025-10-17,Facebook,Facebook - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,2067,29,0,37.82,0.0
2025-12-08,Google Ads,Google Ads - Brand Awareness - As,Brand Awareness,Asia Pacific,Desktop,2598,59,1,117.29,122.89
2025-10-03,Facebook,Facebook - Conversion - LA,Conversion,LATAM,Mobile,2194,26,0,50.28,0.0
2025-11-03,Instagram,Instagram - Conversion - No,Conversion,North America,Mobile,1308,11,0,16.87,0.0
2025-08-17,YouTube,YouTube - Conversion - As,Conversion,Asia Pacific,Mobile,1250,4,0,0.86,0.0
2025-07-13,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,839,9,0,11.66,0.0
2025-03-28,Email,Email - Conversion - Eu,Conversion,Europe,Desktop,869,31,0,11.93,0.0
2025-10-06,YouTube,YouTube - Lead Generation - LA,Lead Generation,LATAM,Desktop,726,3,0,1.06,0.0
2025-12-04,Google Ads,Google Ads - Retargeting - As,Retargeting,Asia Pacific,Tablet,2467,66,3,161.78,469.3
2025-05-11,Google Ads,Google Ads - Retargeting - No,Retargeting,North America,Desktop,1665,27,1,44.76,205.82
2025-11-04,Google Ads,Google Ads - Conversion - LA,Conversion,LATAM,Mobile,2515,75,1,157.11,180.03
2025-11-01,Google Ads,Google Ads - Retargeting - LA,Retargeting,LATAM,Tablet,1327,32,1,56.5,192.97
2025-07-02,Facebook,Facebook - Conversion - LA,Conversion,LATAM,Mobile,1837,26,0,44.52,0.0
2025-06-15,LinkedIn,LinkedIn - Brand Awareness - No,Brand Awareness,North America,Mobile,1272,9,0,41.43,0.0
2025-04-07,LinkedIn,LinkedIn - Conversion - LA,Conversion,LATAM,Mobile,522,3,0,14.94,0.0
2025-02-22,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Mobile,1814,23,0,49.92,0.0
2025-08-25,Instagram,Instagram - Brand Awareness - No,Brand Awareness,North America,Desktop,1034,11,0,19.12,0.0
2025-07-15,Google Ads,Google Ads - Conversion - As,Conversion,Asia Pacific,Mobile,1574,27,0,32.61,0.0
2025-09-29,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Desktop,2305,66,1,159.01,113.85
2025-06-14,LinkedIn,LinkedIn - Lead Generation - No,Lead Generation,North America,Mobile,1456,10,0,44.16,0.0
2025-11-07,LinkedIn,LinkedIn - Lead Generation - Eu,Lead Generation,Europe,Desktop,1347,11,0,51.6,0.0
2025-06-08,Google Ads,Google Ads - Brand Awareness - Eu,Brand Awareness,Europe,Desktop,2190,75,1,146.14,173.95
2025-03-07,LinkedIn,LinkedIn - Conversion - No,Conversion,North America,Desktop,941,8,0,33.42,0.0
2025-04-13,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Desktop,1154,18,0,7.6,0.0
2025-01-27,Instagram,Instagram - Retargeting - LA,Retargeting,LATAM,Mobile,1137,17,0,12.01,0.0
